,City,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Date
0,Port Alfred,ZA,64.99,90,8,4.0,-33.59,26.89,1554676612
1,Cape Town,ZA,64.99,93,0,4.7,-33.93,18.42,1554676266
2,Jiangyou,CN,65.28,45,36,8.75,31.78,104.73,1554676756
3,Berlevag,NO,26.6,63,75,9.17,70.86,29.09,1554673800
4,Albany,US,66.2,42,90,4.27,42.65,-73.75,1554676624
5,Clyde River,CA,10.4,85,68,5.82,70.47,-68.59,1554674400
6,Turan,RU,15.51,83,48,2.37,52.15,93.92,1554676761
7,Meulaboh,ID,79.86,100,44,2.26,4.14,96.13,1554676762
8,Hobart,AU,55.0,61,40,5.82,-42.88,147.33,1554676695
9,Kapaa,US,80.6,61,1,9.17,22.08,-159.32,1554676701
10,Aasiaat,GL,30.36,85,44,10.76,68.71,-52.87,1554676765
11,Richards Bay,ZA,66.63,97,68,3.15,-28.77,32.06,1554676767
12,Cherskiy,RU,21.0,75,0,2.48,68.75,161.3,1554676768
13,Klaksvik,FO,39.2,69,80,14.99,62.23,-6.59,1554675600
14,Staryy Nadym,RU,21.45,82,0,8.41,65.61,72.68,1554676770
15,Maloy,ID,80.4,83,76,2.82,1.0,118.1,1554676772
16,Erzin,TR,61.0,77,75,6.93,36.95,36.2,1554676420
17,Victoria,BN,78.8,94,75,3.27,5.28,115.24,1554672600
18,Misratah,LY,52.95,99,0,4.27,32.38,15.09,1554676776
19,Provideniya,RU,17.6,67,0,15.66,64.42,-173.23,1554672600
20,Thompson,CA,23.0,62,90,12.75,55.74,-97.86,1554674400
21,Namibe,AO,76.44,100,0,4.83,-15.19,12.15,1554676509
22,Hilo,US,80.6,61,1,9.17,19.71,-155.08,1554676775
23,Sola,NO,42.01,86,75,4.27,58.89,5.65,1554676685
24,Honjo,JP,37.4,100,75,3.36,39.38,140.05,1554674400
25,Port Hardy,CA,55.4,58,75,10.29,50.7,-127.42,1554674400
26,Grand Gaube,MU,80.6,78,20,11.41,-20.01,57.66,1554676739
27,Yerbogachen,RU,28.56,73,56,6.62,61.28,108.01,1554676786
28,Vaini,IN,66.72,89,0,1.7,15.34,74.49,1554676789
29,Hamilton,CA,54.0,66,75,14.99,43.26,-79.87,1554676498
30,Linqiong,CN,60.8,87,8,1.36,30.42,103.46,1554670800
31,Bethel,US,37.4,64,20,11.41,60.79,-161.76,1554675000
32,Umm Lajj,SA,70.77,72,24,7.52,25.02,37.27,1554676794
